id,price,bedrooms,bathrooms,sqft_lot_normalized,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,lat,long,nearest_station_distance_km,density,commute_time,distance_to_point_km,grade_living_normalized,lot_size_category,grade_living_category,outliers_ecod,cluster_no_outlier,sqft_lot,grade_living,is_near_shore_encoded,bedrooms_cat_<3,bedrooms_cat_>4,bed-3,bed-4
44,309000.0,3,1.0,9.175438319966918,1.0,0,0,4,1959,0,98058,47.4485,-122.175,17821.49100012876,2252.0,34.9,3.73039900879988,8.946505025998682,2,0,0,1.0,9656,7680,0,0.0,0.0,0.0,0.0
46,210490.0,3,1.0,9.05122740031911,1.0,0,0,3,1966,0,98023,47.3066,-122.371,30639.841393349303,5049.0,34.9,2.336389587888348,8.689632748355741,1,0,0,1.0,8528,5940,0,0.0,0.0,0.0,0.0
50,228000.0,3,1.0,9.126958763037132,1.0,0,0,3,1955,0,98148,47.4258,-122.322,17078.10230547593,4084.0,26.3,2.168081861386957,9.027738775974909,1,0,0,1.0,9199,8330,0,0.0,0.0,0.0,0.0
68,204000.0,3,1.0,9.398561160701128,1.0,0,0,4,1968,0,98042,47.3621,-122.11,28538.71634190113,1751.0,35.0,2.4908383265755183,8.853808274977197,2,0,0,1.0,12070,7000,0,0.0,0.0,0.0,0.0
77,480000.0,3,1.0,8.529319371214077,1.0,0,0,3,1941,0,98116,47.5636,-122.394,5918.515569445797,9060.0,32.7,0.9125020264226686,8.893023494394711,0,0,0,1.0,5060,7280,0,0.0,0.0,0.0,0.0
78,410000.0,3,1.0,8.529319371214077,1.0,0,0,4,1956,0,98133,47.7073,-122.34,986.7137948430376,7038.0,30.4,2.497463797799838,9.197356444417888,0,0,0,1.0,5060,9870,0,0.0,0.0,0.0,0.0
82,355000.0,2,1.0,8.812992231969966,1.0,0,0,3,1948,0,98118,47.5474,-122.291,3873.8567560238366,7844.0,31.2,2.7049989188980543,9.556833658307776,1,1,1,-1.0,6720,14140,0,1.0,0.0,1.0,0.0
84,315000.0,3,1.0,8.800113946766308,1.0,0,0,3,1952,0,98125,47.7264,-122.31,2902.096016091787,7999.0,28.9,2.1421615201656063,8.658866349732383,1,0,0,1.0,6634,5760,0,0.0,0.0,0.0,0.0
92,153000.0,3,1.0,9.259225769705994,1.0,0,0,3,1962,0,98023,47.322,-122.351,28753.19551977908,5049.0,34.9,1.7467137182413837,9.036106025364846,2,0,0,1.0,10500,8400,0,0.0,0.0,0.0,0.0
104,290000.0,3,1.0,10.43176008990584,1.0,0,0,3,1954,0,98058,47.4375,-122.184,18470.52675858299,2252.0,34.9,3.919239388169105,9.044403844431551,2,0,0,1.0,33919,8470,0,0.0,0.0,0.0,0.0
106,460000.0,3,1.0,8.295548516225763,1.5,0,0,4,1939,0,98117,47.6878,-122.38,4208.964831222382,9392.0,30.0,1.850643719930938,9.36657459400682,0,1,0,1.0,4005,11690,0,0.0,0.0,0.0,0.0
117,205425.0,2,1.0,8.821879862683842,1.0,0,0,4,1945,0,98178,47.5009,-122.248,9950.10848981018,5364.0,32.9,1.223991792328021,8.571870752706934,1,0,0,1.0,6780,5280,0,1.0,0.0,1.0,0.0
119,535000.0,4,1.0,8.000684784514748,1.5,0,0,4,1925,0,98144,47.587,-122.294,1596.0177642009494,9389.0,29.3,0.5553685881042412,9.329988334242078,0,0,0,1.0,2982,11270,0,0.0,0.0,0.0,0.0
122,395000.0,2,1.0,8.699681400989514,1.0,0,0,3,1953,0,98117,47.6999,-122.364,2691.3561685482905,9392.0,30.0,1.570772143203636,8.438366410870266,0,0,1,-1.0,6000,4620,0,1.0,0.0,1.0,0.0
138,382500.0,2,1.0,8.398634855292102,1.0,0,0,3,1981,0,98125,47.7135,-122.287,3291.21084617428,7999.0,28.9,0.8686190589690559,8.87360810154911,0,0,1,-1.0,4440,7140,0,1.0,0.0,1.0,0.0
140,665000.0,2,1.0,8.071218539969863,1.0,0,0,3,1925,0,98119,47.6338,-122.358,2910.1276198942146,10846.0,25.5,1.40591150080359,8.958154135209242,0,0,1,-1.0,3200,7770,0,1.0,0.0,1.0,0.0
142,205000.0,3,1.0,9.057189192482008,1.0,0,0,4,1962,0,98058,47.4563,-122.171,17304.05499510518,2252.0,34.9,3.994145364284423,9.329988334242078,1,0,0,1.0,8579,11270,0,0.0,0.0,0.0,0.0
143,420000.0,3,1.0,8.999372396592106,1.0,0,0,4,1923,0,98133,47.7144,-122.351,2104.340251034236,7038.0,30.4,1.9080203297358964,8.912069097970134,1,0,0,1.0,8097,7420,0,0.0,0.0,0.0,0.0
146,890000.0,4,1.0,8.294299608857235,2.0,0,0,3,1905,0,98109,47.6354,-122.353,2883.231978411929,15188.0,22.2,1.209199163397486,9.923339198238727,0,2,0,1.0,4000,20400,0,0.0,0.0,0.0,0.0
149,511000.0,3,1.0,8.147867129923947,1.0,0,0,3,1947,0,98103,47.6873,-122.336,1763.2746630180554,11391.0,27.1,0.2838212121344287,9.211439767419485,0,0,1,-1.0,3455,10010,1,0.0,0.0,0.0,0.0
151,560000.0,3,1.0,8.517393171418904,1.5,0,0,3,1947,0,98107,47.655,-122.359,3410.2829342961563,12484.0,30.0,0.2544121817928114,8.958154135209242,0,0,1,-1.0,5000,7770,1,0.0,0.0,0.0,0.0
152,282950.0,3,1.0,9.012011377036412,1.0,0,0,4,1954,0,98003,47.3255,-122.304,28218.41251969241,4392.0,32.4,2.959897462635151,9.076923258535832,1,0,0,1.0,8200,8750,0,0.0,0.0,0.0,0.0
154,350000.0,1,1.0,8.537191877922927,1.0,0,0,3,1942,0,98115,47.679,-122.3,1209.6329620566594,8197.0,26.8,2.6670532527641218,8.497194544909547,0,0,1,-1.0,5100,4900,0,1.0,0.0,1.0,0.0
155,215000.0,3,1.0,8.945071894361302,1.0,0,0,4,1967,0,98058,47.4479,-122.176,17832.648089199552,2252.0,34.9,3.760554678221716,9.019300924562506,1,0,0,1.0,7669,8260,0,0.0,0.0,0.0,0.0
177,385000.0,3,1.0,8.476579508530941,1.0,0,0,3,1901,0,98122,47.6101,-122.307,1379.7608495424406,17787.0,26.5,1.9194561818610925,8.898502209646642,0,0,0,1.0,4800,7320,0,0.0,0.0,0.0,0.0
179,330000.0,2,1.0,9.014447135152134,1.0,0,0,3,1949,0,98177,47.7224,-122.358,3077.754832386172,3647.0,29.5,1.2557998317431998,9.153875834995056,1,0,0,1.0,8220,9450,0,1.0,0.0,1.0,0.0
188,615000.0,4,1.0,7.783640596221253,1.5,0,0,4,1901,0,98103,47.65,-122.34,2233.799030897833,11391.0,27.1,0.2867769007038953,8.984818995876008,0,0,1,-1.0,2400,7980,1,0.0,0.0,0.0,0.0
191,166950.0,3,1.0,9.084890521258767,1.0,0,0,3,1959,0,98058,47.4616,-122.184,16243.169327160238,2252.0,34.9,4.882434513126312,8.87360810154911,1,0,0,1.0,8820,7140,0,0.0,0.0,0.0,0.0
194,230000.0,3,1.0,9.232982102457008,1.0,0,0,3,1948,0,98155,47.7481,-122.3,5404.597030360851,4784.0,30.0,1.2864215745776195,8.912069097970134,2,0,0,1.0,10228,7420,0,0.0,0.0,0.0,0.0
200,210000.0,3,1.0,9.36956387752416,1.0,0,0,4,1943,0,98056,47.5093,-122.184,12374.930059239528,4879.0,29.6,1.4049364533267477,8.548885638148727,2,0,0,1.0,11725,5160,0,0.0,0.0,0.0,0.0
202,470000.0,3,1.0,8.517393171418904,1.0,0,0,3,1952,0,98107,47.675,-122.394,5798.454230253488,12484.0,30.0,0.829586252999589,8.863757191604241,0,0,0,1.0,5000,7070,0,0.0,0.0,0.0,0.0
204,274250.0,3,1.0,9.042040056544485,1.0,0,0,4,1962,0,98059,47.4787,-122.158,16100.364895564102,2541.0,30.8,4.429923744720954,8.605387202152153,1,0,0,1.0,8450,5460,0,0.0,0.0,0.0,0.0
207,425000.0,3,1.0,8.676757761087575,1.0,0,0,3,1915,0,98116,47.5733,-122.381,4535.8255922730505,9060.0,32.7,1.310017281716336,8.863757191604241,0,0,0,1.0,5864,7070,0,0.0,0.0,0.0,0.0
208,180250.0,2,0.75,9.169622538697624,1.0,0,0,3,1941,0,98166,47.4604,-122.339,13371.34031940528,3913.0,28.5,2.383912600539618,8.594339400592892,2,0,0,1.0,9600,5400,0,1.0,0.0,1.0,0.0
215,280000.0,2,1.0,9.70509758756311,1.0,0,0,3,1923,0,98168,47.4889,-122.299,10092.143346693316,3954.0,27.8,4.494008788397783,8.537191877922927,2,0,0,1.0,16400,5100,0,1.0,0.0,1.0,0.0
228,235000.0,3,1.0,9.632138041371906,1.0,0,0,4,1961,0,98031,47.4075,-122.214,20469.978439085942,5363.0,31.1,5.739031812497139,9.211439767419485,2,0,0,1.0,15246,10010,0,0.0,0.0,0.0,0.0
233,213000.0,2,1.0,9.23024103368252,1.0,0,0,3,1961,0,98024,47.5687,-121.899,31084.88156802376,249.0,33.4,11.744231074076058,8.699681400989514,2,0,0,1.0,10200,6000,0,1.0,0.0,1.0,0.0
237,410000.0,4,1.0,8.464003362902119,1.5,0,0,3,1904,2005,98122,47.6136,-122.303,1416.23642713975,17787.0,26.5,1.6198922120201815,9.531771484474335,0,1,0,1.0,4740,13790,0,0.0,0.0,0.0,0.0
241,210000.0,2,1.0,8.699681400989514,1.0,0,0,3,1940,0,98126,47.5308,-122.376,7233.534790445275,7113.0,30.5,1.502793279313421,8.513385953073284,0,0,1,-1.0,6000,4980,0,1.0,0.0,1.0,0.0
242,455000.0,2,1.0,8.517393171418904,1.5,0,0,2,1925,0,98115,47.6727,-122.299,1317.7558059470666,8197.0,26.8,1.962883090973496,9.211439767419485,0,0,1,-1.0,5000,10010,0,1.0,0.0,1.0,0.0
243,225000.0,3,1.0,9.026056891868688,1.0,0,0,4,1954,0,98002,47.3221,-122.216,29490.026617208583,5015.0,29.5,6.422520085120185,8.962007209588313,1,0,0,1.0,8316,7800,0,0.0,0.0,0.0,0.0
244,480000.0,2,1.0,8.026496938945412,1.0,0,2,4,1918,0,98103,47.6779,-122.353,2787.675633416804,11391.0,27.1,0.5520060179380225,8.88336291691676,0,0,0,1.0,3060,7210,0,1.0,0.0,1.0,0.0
253,349500.0,3,1.0,8.171599480345463,1.0,0,0,3,1953,0,98118,47.5405,-122.27,5337.565992651224,7844.0,31.2,0.601379138833767,9.19023970026918,0,0,0,1.0,3538,9800,0,0.0,0.0,0.0,0.0
258,255000.0,3,1.0,9.227295812625597,1.0,0,0,3,1979,0,98045,47.4437,-121.772,43368.95633699367,91.0,30.2,3.615009280846996,9.060795734696166,2,0,0,1.0,10170,8610,0,0.0,0.0,0.0,0.0
260,780000.0,3,1.0,8.38958706681109,1.5,0,0,3,1911,0,98112,47.6362,-122.302,1491.6158417216143,7621.0,25.4,0.753042822354217,9.49408972140025,0,1,0,1.0,4400,13280,0,0.0,0.0,0.0,0.0
263,425000.0,2,1.0,8.525359754082631,1.0,0,0,3,1930,0,98144,47.5964,-122.299,2137.8564770838125,9389.0,29.3,0.940502840474248,8.25608813381491,0,0,1,-1.0,5040,3850,0,1.0,0.0,1.0,0.0
264,369900.0,1,0.75,9.21830854162536,1.0,1,4,5,1936,0,98070,47.4683,-122.438,15569.6017790119,295.0,36.8,0.0533388489678654,8.24301946898925,2,0,1,-1.0,10079,3800,1,1.0,0.0,1.0,0.0
266,285000.0,3,1.0,9.27818591887125,1.0,0,0,3,1954,0,98106,47.5544,-122.358,4437.1971372218,5006.0,29.4,3.3293113562561194,8.967121656230923,2,0,0,1.0,10701,7840,0,0.0,0.0,0.0,0.0
267,415000.0,2,1.0,8.412054873292933,1.0,0,0,3,1937,0,98115,47.6802,-122.29,1972.2312873411315,8197.0,26.8,2.0737523125032125,8.921457578947884,0,0,1,-1.0,4500,7490,0,1.0,0.0,1.0,0.0
271,436000.0,2,1.0,8.927844826211702,1.0,0,0,4,1939,0,98133,47.7107,-122.352,1962.4615061999948,7038.0,30.4,1.9513037531106103,8.893023494394711,1,0,0,1.0,7538,7280,0,1.0,0.0,1.0,0.0
272,210000.0,3,1.0,9.340578848899913,1.0,0,0,4,1967,0,98003,47.3271,-122.323,28046.879623234952,4392.0,32.4,2.009866068528064,9.38437770918244,2,1,0,1.0,11390,11900,0,0.0,0.0,0.0,0.0
273,236000.0,3,1.0,8.682538124003075,1.0,0,0,3,1961,0,98178,47.5053,-122.255,9269.813613746011,5364.0,32.9,0.92932660426006,9.116139576577355,0,0,0,1.0,5898,9100,0,0.0,0.0,0.0,0.0
281,170000.0,2,1.0,8.569026340056254,1.0,0,0,3,1931,0,98178,47.5048,-122.272,8804.976795193712,5364.0,32.9,1.920461500963184,8.548885638148727,0,0,1,-1.0,5265,5160,0,1.0,0.0,1.0,0.0
289,500000.0,2,1.0,9.55400099583723,1.0,0,0,4,1954,0,98006,47.5712,-122.143,12735.98238891138,3524.0,27.6,2.447227491979877,9.348448774093812,2,1,0,1.0,14100,11480,0,1.0,0.0,1.0,0.0
308,550700.0,2,1.0,8.517393171418904,1.5,0,0,4,1908,0,98105,47.6692,-122.297,1593.4399645357278,12890.0,25.1,1.568587506745358,8.709630081951286,0,0,1,-1.0,5000,6060,0,1.0,0.0,1.0,0.0
318,548000.0,2,1.0,8.259716961021523,1.0,0,0,4,1916,0,98103,47.6638,-122.345,2338.371493000295,11391.0,27.1,0.8897618330423209,9.239025005836092,0,0,1,-1.0,3864,10290,0,1.0,0.0,1.0,0.0
319,268750.0,4,1.0,9.079776001955066,1.0,0,0,3,1943,0,98166,47.48,-122.336,11183.767409631922,3913.0,28.5,1.9128670935055567,8.476579508530941,1,0,0,1.0,8775,4800,0,0.0,0.0,0.0,0.0
324,232000.0,2,1.0,9.400382051785275,1.0,0,0,3,1922,1984,98146,47.4957,-122.352,9768.729226513266,6034.0,29.8,1.2708054294198932,8.914760527397261,2,0,0,1.0,12092,7440,0,1.0,0.0,1.0,0.0
325,240500.0,2,1.0,9.400382051785275,1.0,0,0,3,1922,1984,98146,47.4957,-122.352,9768.729226513266,6034.0,29.8,1.2708054294198932,8.914760527397261,2,0,0,1.0,12092,7440,0,1.0,0.0,1.0,0.0
328,186375.0,3,1.0,8.940760134888384,1.0,0,0,2,1952,0,98166,47.472,-122.344,12167.643562587406,3913.0,28.5,1.6313480082023246,8.853808274977197,1,0,0,1.0,7636,7000,0,0.0,0.0,0.0,0.0
333,640000.0,2,1.0,8.517393171418904,1.0,0,0,3,1924,0,98103,47.6666,-122.331,1418.080792191107,11391.0,27.1,0.8830490067411697,8.921457578947884,0,0,1,-1.0,5000,7490,0,1.0,0.0,1.0,0.0
345,165000.0,4,1.0,8.872767529910936,1.0,0,0,3,1943,0,98178,47.4897,-122.24,11331.85737724505,5364.0,32.9,1.983913233904273,8.699681400989514,1,0,0,1.0,7134,6000,0,0.0,0.0,0.0,0.0
346,239900.0,4,1.0,8.872767529910936,1.0,0,0,3,1943,0,98178,47.4897,-122.24,11331.85737724505,5364.0,32.9,1.983913233904273,8.699681400989514,1,0,0,1.0,7134,6000,0,0.0,0.0,0.0,0.0
347,320000.0,2,1.0,10.393109968651016,1.0,0,0,4,1930,0,98059,47.4716,-122.078,21293.66782386272,2541.0,30.8,6.140120585113492,8.76732914779405,2,0,0,1.0,32633,6420,0,1.0,0.0,1.0,0.0
350,299000.0,1,0.75,9.402694764470512,1.0,0,0,3,1967,0,98014,47.675,-121.854,33896.47836991831,89.0,34.2,12.554591652594144,7.714677473800927,2,0,0,1.0,12120,2240,0,1.0,0.0,1.0,0.0
352,315000.0,3,1.0,9.575052927597383,1.0,0,0,4,1954,0,98166,47.4147,-122.337,18392.888002759584,3913.0,28.5,0.4349483086440794,9.495594499353295,2,1,1,-1.0,14400,13300,1,0.0,0.0,0.0,0.0
353,437500.0,2,1.0,8.045908742270779,1.0,0,2,5,1907,0,98103,47.68,-122.353,2803.799991323629,11391.0,27.1,0.6655200171945959,8.843759381917984,0,0,1,-1.0,3120,6930,0,1.0,0.0,1.0,0.0
357,420000.0,4,1.0,9.169622538697624,1.5,0,0,4,1954,0,98006,47.5759,-122.137,13160.57852868783,3524.0,27.6,1.909632854774415,9.41336284529417,2,1,0,1.0,9600,12250,0,0.0,0.0,0.0,0.0
358,900000.0,3,1.0,11.264117891900502,1.0,0,0,3,1928,1954,98033,47.6891,-122.159,11713.610313650344,4318.0,24.4,3.9388367209430575,9.138951775888527,2,0,0,1.0,77972,9310,0,0.0,0.0,0.0,0.0
390,345000.0,4,1.0,8.938662873666118,1.5,0,0,3,1957,0,98106,47.5287,-122.35,6311.159141991356,5006.0,29.4,4.1873495875930935,9.292012520620208,1,0,0,1.0,7620,10850,0,0.0,0.0,0.0,0.0
395,330000.0,2,1.0,9.210440366976515,1.0,0,0,5,1950,0,98028,47.7405,-122.241,7736.33727726659,3833.0,33.1,1.6573408805545822,9.052633375946147,2,0,1,-1.0,10000,8540,0,1.0,0.0,1.0,0.0
402,352000.0,2,1.0,8.517393171418904,1.0,0,0,4,1937,0,98117,47.6879,-122.385,4552.998398048288,9392.0,30.0,1.6434010551082547,8.791941988456118,0,0,1,-1.0,5000,6580,0,1.0,0.0,1.0,0.0
411,517534.0,2,1.0,11.877207402230708,1.0,0,0,3,2006,0,98070,47.3889,-122.482,24744.99390221976,295.0,36.8,0.4772866312065961,8.334711621820917,2,0,1,-1.0,143947,4165,1,1.0,0.0,1.0,0.0
420,482000.0,2,1.0,8.284251797621916,1.0,0,0,3,1941,0,98103,47.6885,-122.337,1666.653862471081,11391.0,27.1,0.4048084195394629,8.802522498284421,0,0,1,-1.0,3960,6650,1,1.0,0.0,1.0,0.0
424,375000.0,2,1.0,8.54110501146255,1.0,0,0,3,1909,0,98122,47.6073,-122.308,1564.814435970516,17787.0,26.5,1.9062274855506467,8.791941988456118,0,0,1,-1.0,5120,6580,0,1.0,0.0,1.0,0.0
442,641000.0,2,1.0,8.581669210600602,1.0,0,0,3,1953,0,98105,47.6694,-122.275,3053.8903645643527,12890.0,25.1,0.797823518878266,9.337941716569905,0,1,1,-1.0,5332,11360,0,1.0,0.0,1.0,0.0
444,205000.0,3,1.0,8.984818995876008,1.0,0,0,4,1960,0,98032,47.3838,-122.289,21798.72887089591,2299.0,30.0,2.808934015238262,8.791941988456118,1,0,0,1.0,7980,6580,0,0.0,0.0,0.0,0.0
452,232000.0,3,1.0,9.24994562656854,1.0,0,0,4,1976,0,98038,47.362,-122.029,32219.917593997176,572.0,38.8,2.3511042758437446,9.036106025364846,2,0,0,1.0,10403,8400,0,0.0,0.0,0.0,0.0
464,330000.0,3,1.0,8.853808274977197,1.0,0,0,3,1953,0,98133,47.7617,-122.357,6835.251287750397,7038.0,30.4,1.7363572319177891,8.679482094459956,1,0,0,1.0,7000,5880,0,0.0,0.0,0.0,0.0
465,80000.0,1,0.75,8.527341522468053,1.0,0,0,2,1912,0,98014,47.6499,-121.909,29656.983471605217,89.0,34.2,12.482897196148691,7.450660796211539,0,0,1,-1.0,5050,1720,0,1.0,0.0,1.0,0.0
478,315000.0,2,1.0,8.787372988731876,1.0,0,0,3,1918,0,98126,47.5486,-122.38,6156.826489483226,7113.0,30.5,1.3772473149271822,8.055475141757274,1,0,0,1.0,6550,3150,0,1.0,0.0,1.0,0.0
501,475000.0,2,1.0,8.249575150000199,1.0,0,0,3,1929,0,98117,47.6799,-122.381,4681.716966887352,9392.0,30.0,1.5265793670427612,9.25253742067597,0,0,1,-1.0,3825,10430,0,1.0,0.0,1.0,0.0
506,529000.0,3,1.0,8.110427237575024,1.5,0,0,4,1924,0,98107,47.6729,-122.363,3555.83049005014,12484.0,30.0,1.5699886978699749,9.044403844431551,0,0,0,1.0,3328,8470,0,0.0,0.0,0.0,0.0
507,442000.0,3,1.0,8.537191877922927,1.0,0,0,4,1941,0,98136,47.5346,-122.385,7412.632807040349,7517.0,30.6,0.8174926562440326,9.027738775974909,0,0,0,1.0,5100,8330,0,0.0,0.0,0.0,0.0
508,615000.0,2,1.0,8.835355971121606,1.0,0,0,4,1946,0,98119,47.6454,-122.373,4612.46699983142,10846.0,25.5,1.0361034563207077,9.285540604539118,1,0,0,1.0,6872,10780,0,1.0,0.0,1.0,0.0
513,290000.0,4,1.0,9.010058489805235,1.5,0,0,3,1949,0,98133,47.7343,-122.347,3716.442141001665,7038.0,30.4,2.038499467833504,9.138951775888527,1,0,0,1.0,8184,9310,0,0.0,0.0,0.0,0.0
515,300000.0,2,1.0,8.946505025998682,1.0,0,0,4,1950,0,98133,47.7439,-122.339,4578.171548394526,7038.0,30.4,2.9255367815029683,8.94910546953925,1,0,0,1.0,7680,7700,0,1.0,0.0,1.0,0.0
516,308000.0,3,1.0,10.575181243876902,1.5,0,0,3,1932,0,98030,47.3818,-122.225,22908.30797640469,5499.0,30.7,4.887282462159106,9.382695764458289,2,1,0,1.0,39150,11880,0,0.0,0.0,0.0,0.0
520,288000.0,3,1.0,8.93075873555827,1.0,0,0,5,1958,0,98058,47.452,-122.177,17417.0338092168,2252.0,34.9,4.067314778912131,8.87360810154911,1,0,0,1.0,7560,7140,0,0.0,0.0,0.0,0.0
521,190000.0,2,1.0,8.699681400989514,1.0,0,0,3,1943,2005,98178,47.4973,-122.221,11393.853086083876,5364.0,32.9,0.3888121770394814,8.237743803890933,0,0,1,-1.0,6000,3780,1,1.0,0.0,1.0,0.0
524,275000.0,2,1.0,8.517393171418904,1.0,0,0,3,1951,0,98126,47.5186,-122.374,8206.85691166299,7113.0,30.5,2.082897613997044,8.637816633739977,0,0,1,-1.0,5000,5640,0,1.0,0.0,1.0,0.0
528,365000.0,4,1.0,8.865876285425417,1.5,0,0,3,1944,0,98125,47.7315,-122.305,3579.5317458299887,7999.0,28.9,1.542352685271795,9.163353580751846,1,0,0,1.0,7085,9540,0,0.0,0.0,0.0,0.0
534,204000.0,3,1.0,8.910045761473558,1.0,0,0,4,1971,0,98010,47.3105,-122.021,37068.23651828882,401.0,36.9,1.4630939792816948,8.738895704934043,1,0,0,1.0,7405,6240,0,0.0,0.0,0.0,0.0
549,215000.0,2,1.0,9.089979015305,1.0,0,0,4,1943,0,98168,47.4949,-122.3,9420.915464665748,3954.0,27.8,4.066724407911028,8.97727273946428,1,0,0,1.0,8865,7920,0,1.0,0.0,1.0,0.0
553,261000.0,2,1.0,9.002824076547672,1.0,0,0,4,1943,0,98055,47.4727,-122.198,14624.175667191334,5532.0,33.1,3.277493721625848,8.412054873292933,1,0,0,1.0,8125,4500,0,1.0,0.0,1.0,0.0
557,238000.0,4,1.0,8.887790764195326,1.5,0,0,3,1959,0,98188,47.4339,-122.291,16236.70196811332,3413.0,25.6,4.47151211360994,9.19023970026918,1,0,0,1.0,7242,9800,0,0.0,0.0,0.0,0.0
566,260000.0,3,1.0,8.585038738311304,1.5,0,0,4,1959,0,98178,47.505,-122.259,9164.697685353549,5364.0,32.9,1.179745650365222,8.865170419651774,0,0,0,1.0,5350,7080,0,0.0,0.0,0.0,0.0
568,610000.0,3,1.0,8.131824785007195,1.5,0,0,3,1907,0,98109,47.6376,-122.353,3106.76243856781,15188.0,22.2,0.9887469045654792,9.152817185732516,0,0,0,1.0,3400,9440,0,0.0,0.0,0.0,0.0
569,405000.0,2,0.75,9.61780348274702,1.0,0,0,4,1937,0,98014,47.6929,-121.87,32923.38112620987,89.0,34.2,13.5642337789894,8.848078421168667,2,0,0,1.0,15029,6960,0,1.0,0.0,1.0,0.0
575,300000.0,2,1.0,11.23578760639412,1.0,0,0,4,1963,0,98038,47.4219,-122.007,28872.82914773772,572.0,38.8,9.213375306939792,9.052633375946147,2,0,0,1.0,75794,8540,0,1.0,0.0,1.0,0.0
579,180000.0,3,1.0,9.10063710688422,1.0,0,0,4,1965,0,98023,47.3062,-122.371,30683.8414964692,5049.0,34.9,2.3798690667356657,9.024613022047395,1,0,0,1.0,8960,8304,0,0.0,0.0,0.0,0.0
607,443500.0,2,1.0,8.825412915085566,1.0,0,0,3,1949,0,98177,47.7047,-122.373,3359.148135429892,3647.0,29.5,0.7100170960240101,8.791941988456118,1,0,0,1.0,6804,6580,0,1.0,0.0,1.0,0.0
618,175000.0,3,1.0,9.187685681411375,1.0,0,0,3,1971,0,98045,47.4474,-121.771,43297.251823161816,91.0,30.2,3.972064849222402,9.076923258535832,2,0,0,1.0,9775,8750,0,0.0,0.0,0.0,0.0
